Split,Stratum,Model,MSE,Pearson,Synergy
Seen 0/2,High Synergy,Additive,0.0683972109444909,0.0,
Seen 0/2,High Synergy,BaseMamba,0.06882971443409376,-0.055571323372764526,-0.0001949349938685986
Seen 0/2,High Synergy,Condition Mean,0.04031779745867923,0.8926540423643197,
Seen 0/2,High Synergy,GCP-Mamba,0.06856831948051273,0.20734244953707173,0.030741413340935535
Seen 0/2,High Synergy,GCP-Mamba (Permuted GO),0.06868518722652753,0.1388620214400249,0.027827940448035018
Seen 0/2,High Synergy,GCP-Mamba (Synergy-Weighted),0.14166192068763123,0.44873932841821657,0.07698777655195573
Seen 0/2,High Synergy,Linear,0.04031779745867923,0.8926540423643197,
Seen 0/2,Low Synergy,Additive,0.04027652124435483,0.0,
Seen 0/2,Low Synergy,BaseMamba,0.04053314038164282,-0.02482858611839306,-0.00024695431858183585
Seen 0/2,Low Synergy,Condition Mean,0.029879700734254208,0.691954211877553,
Seen 0/2,Low Synergy,GCP-Mamba,0.040371539392394094,0.06355271516849342,0.022704745763768408
Seen 0/2,Low Synergy,GCP-Mamba (Permuted GO),0.04045103383004369,0.01688537545496546,0.017444425907868575
Seen 0/2,Low Synergy,GCP-Mamba (Synergy-Weighted),0.1100607013913046,0.1830212332493029,0.058847528435384454
Seen 0/2,Low Synergy,Linear,0.029879700734254208,0.691954211877553,
Seen 1/2,High Synergy,Additive,0.15318889663424176,0.0,
Seen 1/2,High Synergy,BaseMamba,0.1531230746880326,-0.013455990473371728,0.0002772334074228295
Seen 1/2,High Synergy,Condition Mean,0.12166922019820667,0.8107385117068266,
Seen 1/2,High Synergy,GCP-Mamba,0.15302031125020552,0.06344141081126983,0.01606185539174744
Seen 1/2,High Synergy,GCP-Mamba (Permuted GO),0.1530766175181029,0.029118465212840908,0.012141653683368472
Seen 1/2,High Synergy,GCP-Mamba (Synergy-Weighted),0.21569946699783538,0.15753454297494068,0.039504025965481214
Seen 1/2,High Synergy,Linear,0.12166922019820667,0.8107385117068266,
Seen 1/2,Low Synergy,Additive,0.042488447795919156,0.0,
Seen 1/2,Low Synergy,BaseMamba,0.042656255378657616,-0.01291105597128243,-7.509512510522066e-05
Seen 1/2,Low Synergy,Condition Mean,0.034129561595992515,0.7362793311271564,
Seen 1/2,Low Synergy,GCP-Mamba,0.04256207110099534,0.035665583489826846,0.011535122866400092
Seen 1/2,Low Synergy,GCP-Mamba (Permuted GO),0.04260338789256626,0.00597622211444559,0.008266159944623258
Seen 1/2,Low Synergy,GCP-Mamba (Synergy-Weighted),0.1104484998533577,0.09074630249630475,0.025656779041618373
Seen 1/2,Low Synergy,Linear,0.034129561595992515,0.7362793311271564,
Seen 2/2,High Synergy,Additive,0.1815745888769686,0.0,
Seen 2/2,High Synergy,BaseMamba,0.1811497682404449,-0.011506998054696923,0.00035516634067002915
Seen 2/2,High Synergy,Condition Mean,0.1464907211222039,0.7861635171895479,
Seen 2/2,High Synergy,GCP-Mamba,0.1811221844095758,0.050572713730796706,0.01622809871947087
Seen 2/2,High Synergy,GCP-Mamba (Permuted GO),0.18114809952167457,0.015236915348088199,0.012567435515127958
Seen 2/2,High Synergy,GCP-Mamba (Synergy-Weighted),0.23604831758260153,0.11290831438467468,0.03832406835280414
Seen 2/2,High Synergy,Linear,0.1464907211222039,0.7861635171895479,
Seen 2/2,Low Synergy,Additive,0.03180033084104645,0.0,
Seen 2/2,Low Synergy,BaseMamba,0.03192669608813478,-0.0011702304555512217,0.0002755793333545588
Seen 2/2,Low Synergy,Condition Mean,0.02787529788876576,0.6728125708877232,
Seen 2/2,Low Synergy,GCP-Mamba,0.031851926078752854,0.043963718869956196,0.013247811740147379
Seen 2/2,Low Synergy,GCP-Mamba (Permuted GO),0.03188394197339517,0.0032962261290550854,0.009792982008531757
Seen 2/2,Low Synergy,GCP-Mamba (Synergy-Weighted),0.09886667862687913,0.09260574778506289,0.025019422476114606
Seen 2/2,Low Synergy,Linear,0.02787529788876576,0.6728125708877232,
