Split,Model,MSE_mean,Pearson_mean,Synergy_mean,MSE_ci,Pearson_ci,Synergy_ci,n_conditions
Seen 0/2,Additive,0.1050690284796643,0.0,0.0,0.060969124498866704,0.0,0.0,21
Seen 0/2,BaseMamba,0.10510075468272907,0.014480882634166789,-9.317090032147352e-05,0.06043633753216668,0.014073742369739876,0.0002306519388383549,21
Seen 0/2,Condition Mean,0.08785325791603331,0.662180072080727,0.0,0.05220321537347235,0.12770896338036036,0.0,21
Seen 0/2,GCP-Mamba,0.10509578240110651,0.06535020407775265,0.002945193632664106,0.058882609304104626,0.05875895814728469,0.006940010223507826,21
Seen 0/2,GCP-Mamba (Constant D),0.105061159720081,-0.012108383192311067,0.0006575995159746573,0.060488320476427555,0.018354928938335135,0.0021901665351402888,21
Seen 0/2,GCP-Mamba (Permuted),0.10506445192632882,-0.06225301416014449,0.0007706907292467045,0.0586373177009811,0.03502941083658262,0.005161064510922835,21
Seen 0/2,Linear (Ridge),0.08785325845704584,0.6621800704583858,0.4419974809400456,0.052529181071253,0.12514048566090485,0.10226243661649342,21
Seen 1/2,Additive,0.05807759519145184,0.7085697852931513,0.0,0.012086949325904116,0.03912209911343073,0.0,172
Seen 1/2,BaseMamba,0.10777069807902488,0.0014171239036395423,0.15968648757480483,0.024526210873302645,0.0024718118924916053,0.05598975572472398,172
Seen 1/2,Condition Mean,0.0897713273871252,0.7111150741560881,0.0,0.022368615095686967,0.030267101982022926,0.0,172
Seen 1/2,GCP-Mamba,0.10773574827849017,0.10658579385523562,0.15986982484561216,0.02485834126957174,0.01778544119804714,0.057350566063054866,172
Seen 1/2,GCP-Mamba (Constant D),0.10771339949712774,-0.0034861654661660435,0.15988027015880116,0.02476613718006447,0.003010948452212834,0.053976733257754955,172
Seen 1/2,GCP-Mamba (Permuted),0.10770279485963943,-0.07212552115175912,0.1602039085490216,0.02518625707631393,0.012868329170123538,0.05483686440142489,172
Seen 1/2,Linear (Ridge),0.08977132750180394,0.711115067455566,0.3606283446551425,0.023034071075011736,0.03084083540758953,0.04261668077522526,172
Seen 2/2,Additive,0.03967573110553256,0.8840473255400296,0.0,0.005598123348491815,0.011539926036763903,0.0,331
Seen 2/2,BaseMamba,0.09003892603233415,0.0019489838552228826,0.4009854081623542,0.013705035208007865,0.0015791161339583078,0.034384440297386076,331
Seen 2/2,Condition Mean,0.07100809049183394,0.7546184225070502,0.0,0.011650235002154976,0.016798982635006232,0.0,331
Seen 2/2,GCP-Mamba,0.09002214502997188,0.10887833521336766,0.40105739870287027,0.013088618301970625,0.013615891170336632,0.03638201444520145,331
Seen 2/2,GCP-Mamba (Constant D),0.09001304742319546,-0.0019993774270465232,0.40132035414871403,0.013483025301099336,0.0015666199684777815,0.03565669678717184,331
Seen 2/2,GCP-Mamba (Permuted),0.09001550081200219,-0.0815927214457531,0.40133065513930727,0.012991777638913418,0.009354268084727953,0.03460813355250669,331
Seen 2/2,Linear (Ridge),0.07100809046305251,0.7546184289788022,0.48190738459903104,0.011276629359612753,0.018292871332405536,0.02700391610678729,331
